"","term","estimate","std.error","statistic","p.value"
"93","(Intercept)",-1.40336593092992,0.34481892502159,-4.06986342423651,0.0000602604204497939
"94","lag1",-0.202290324911561,0.0457771746879604,-4.41902162574407,0.0000138832555839921
"95","lag2",-0.149944103601864,0.0485742059868045,-3.08690797009832,0.00221206956056465
"96","lag3",-0.126112325793709,0.0493477325717615,-2.55558501315772,0.011095650570184
"97","lag4",-0.133966611188788,0.0468278281633932,-2.86083332161695,0.00452307965312967
"98","lag6",0.280610730961142,0.0506190641837128,5.54357800734356,0.0000000651445369527862
"99","lag12",0.322576588906798,0.048923645634399,6.59346998213046,0.000000000194343711010484
"100","CPI_lag3",0.796989744001199,0.227990388952425,3.49571641007862,0.000544431579159604
"101","CPI_lag8",0.46680332170637,0.218078129410832,2.14053249157769,0.0331204979657069
"102","(Intercept)",-1.37040493667165,0.354920858434678,-3.86115637924355,0.000138073852401546
"103","lag1",-0.233985062721717,0.0558510535493243,-4.18944760845156,0.0000367494020964634
"104","lag2",-0.154075042792301,0.0552647614518509,-2.78794368680191,0.00564077520703467
"105","lag6",0.136421605081046,0.0551422233570266,2.47399536645021,0.0139106480236515
"106","CPI_lag9",0.640478678226863,0.291831767611752,2.19468457278765,0.0289474030648001
"107","CPI_lag10",0.580205607062701,0.294657157094242,1.96908710035891,0.0498570867593374
"108","(Intercept)",0.33052336159249,0.0770178386097744,4.29151697267369,0.0000238600447997968
"109","lag1",-0.305118672657148,0.0533850762906111,-5.71543011376775,0.0000000260419864932397
"110","CPI_lag5",0.217134388230946,0.0859292787782757,2.5268964352793,0.0120129728805216
"111","(Intercept)",-0.317896016986543,0.255427002419181,-1.24456699556316,0.214252753793469
"112","lag1",-0.116417293101852,0.0518514755124558,-2.24520694833237,0.0254758127338738
"113","lag6",0.169956611530309,0.0525404383998281,3.23477718699175,0.00135192702500171
"114","lag11",0.174485565603294,0.0514384411279915,3.39212390144428,0.000785646697631148
"115","lag12",0.269581435973944,0.0522894627291256,5.15555949332379,0.000000457245185975711
