,cola,colB,colc,winner
201,"OTHER EQUIPMENT FOR THE RECEPTION, RECORDING AND REPRODUCTION OF SOUND AND PICTURE",..,NA,NA
202,"PHOTOGRAPHIC, CINEMATOGRAPHIC AND OPTICAL EQUIPMENT",4,NA,NA
203,DATA PROCESSING EQUIPMENT,5,NA,NA
204,PERSONAL COMPUTERS,..,NA,NA
205,ACCESSORIES FOR INFORMATION PROCESSING EQUIPMENT,..,NA,NA
206,SOFTWARE,..,NA,NA
207,RECORDING MEDIA,11,NA,NA
208,PRE-RECORDED RECORDING MEDIA,..,NA,NA
209,UNRECORDED RECORDING MEDIA,..,NA,NA
210,OTHER RECORDING MEDIA,..,NA,NA
211,REPAIR OF AUDIO-VISUAL EQUIPMENT AND RELATED PRODUCTS,1,NA,NA
212,OTH MAJOR DURABLES FOR RECREATION AND CULTURE,9,NA,NA
213,MAJOR DURABLES FOR INOUTDOOR RECREATION AND THEIR MAINTENANCE,9,NA,NA
214,"CAMPER VANS, CARAVANS AND TRAILERS",..,NA,NA
215,"BOATS, OUTBOARD MOTORS AND FITTING OUT OF BOATS",..,NA,NA
216,MAJOR ITEMS FOR GAMES AND SPORT,..,NA,NA
217,MUSICAL INSTRUMENTS,..,NA,NA
218,MAINTENANCE AND REPAIR OF OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,..,NA,NA
219,"OTHER RECREATIONAL ITEMS, GARDENS AND PETS",38,NA,NA
220,"GAMES, TOYS AND HOBBIES",22,NA,NA
221,GAMES AND HOBBIES,..,NA,NA
222,TOYS AND CELEBRATION ARTICLES,..,NA,NA
223,EQUIPMENT FOR SPORT AND OPEN-AIR RECREATION,4,NA,NA
224,EQUIPMENT FOR SPORT,..,NA,NA
225,EQUIPMENT FOR CAMPING AND OPEN-AIR RECREATION,..,NA,NA
226,"GARDENS, PLANTS AND FLOWERS",5,NA,NA
227,GARDEN PRODUCTS,..,NA,NA
228,PLANTS AND FLOWERS,..,NA,NA
229,"PETS, RELATED PRODUCTS AND SERVICES",7,NA,NA
230,PURCHASE OF PETS,..,NA,NA
231,PRODUCTS FOR PETS,..,NA,NA
232,VETERINARY AND OTHER SERVICES FOR PETS,..,NA,NA
