"","date_all","CPI","1 months difference ","2 months difference ","3 months difference ","4 months difference ","5 months difference ","6 months difference ","7 months difference ","8 months difference ","9 months difference ","10 months difference ","11 months difference ","12 months difference ","excluding_food_and_energy","Trimmed_mean","sticky","ar","TM","EXFD","Sticky","Baseline"
"280",2012-04-01,3,-0.2,-0.6,-0.4,-0.5,-0.8,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.6,1.00204657697319,1.20013978753448,3.221334393,0.0238464076825149,1.79986021246552,1.99795342302681,-0.221334393,1.07476588098559
"281",2012-05-01,2.8,-0.4,-0.2,-0.3,-0.6,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,-0.0999999999999996,0,0,-0.4,-0.0999999999999996,0.71809055078717,1.23527757594068,3.302128732,0.0830420186837136,1.56472242405932,2.08190944921283,-0.502128732,0.946577398497444
"282",2012-06-01,2.4,0.2,0.1,-0.2,0.3,0.3,0.3,0.3,0.4,0.4,0,0.3,0.5,0.296721246602157,1.22500878716587,3.084642929,0.0144846326901088,1.17499121283413,2.10327875339784,-0.684642929,0.860984104663791
"283",2012-07-01,2.6,-0.1,-0.4,0.1,0.1,0.1,0.1,0.2,0.2,-0.2,0.1,0.3,0.2,0.403978936486861,1.56031601763466,3.275021703,0.131102575797491,1.03968398236534,2.19602106351314,-0.675021703,0.824408869229946
"284",2012-08-01,2.5,-0.3,0.2,0.2,0.2,0.2,0.3,0.3,-0.1,0.2,0.4,0.3,0.2,0.439630299765609,1.74617946299394,3.511976518,0.0184396245477326,0.753820537006056,2.06036970023439,-1.011976518,0.897851107326422
"285",2012-09-01,2.2,0.5,0.5,0.5,0.5,0.6,0.6,0.2,0.5,0.7,0.6,0.5,0.5,0.255170772368412,1.71844435307564,3.286688187,0.0342096457818853,0.481555646924359,1.94482922763159,-1.086688187,0.754247714582385
"286",2012-10-01,2.7,0,0,0,0.0999999999999996,0.0999999999999996,-0.3,0,0.2,0.0999999999999996,0,0,-0.5,0.282497040645526,1.96901365248455,3.762504452,0.201514448651107,0.73098634751545,2.41750295935447,-1.062504452,0.791737324359176
"287",2012-11-01,2.7,0,0,0.0999999999999996,0.0999999999999996,-0.3,0,0.2,0.0999999999999996,0,0,-0.5,-0.6,0.362725659297185,1.77569385916259,3.611748558,0.101001772459335,0.924306140837405,2.33727434070282,-0.911748558,0.892250000550949
"288",2012-12-01,2.7,0,0.0999999999999996,0.0999999999999996,-0.3,0,0.2,0.0999999999999996,0,0,-0.5,-0.6,-0.7,0.447942685336107,1.58163264258909,3.66219711,0.128491148289534,1.11836735741091,2.25205731466389,-0.96219711,0.86476062472075
"289",2013-01-01,2.7,0.0999999999999996,0.0999999999999996,-0.3,0,0.2,0.0999999999999996,0,0,-0.5,-0.6,-0.7,-0.8,0.278470490677202,1.70935436176455,3.777860321,0.0128840739972441,0.990645638235454,2.4215295093228,-1.077860321,0.980367699013039
